# Digitised from Texas Instruments TIDA-01492 design guide (TIDUDA4, Figure 47),
# "150-kHz to 30-MHz Conducted Emissions - Peak and Average Detection".
# (c) Texas Instruments Incorporated; reproduced here as measured reference data
# for EMC-pipeline validation (ABT #810). Not Faraday's to license.
#
# Board:      TIDA-01492, LM73605-Q1 front end at 2.2 MHz, CISPR 25 Class 5 target
# Instrument: Rohde & Schwarz receiver, Ref Lvl 70 dBuV, RBW 10 kHz, VBW 30 kHz,
#             sweep 10 s, RF Att 10 dB, 150 kHz - 30 MHz log sweep, 17 Jul 2017
# Method:     scripts/digitize_ce_screenshot.py, topmost trace pixel per column
# Checks:     marker 13.42 dBuV @ 30 MHz -> 13.27 digitised (0.15 dB);
#             Class 5 limit lines recovered at 54.04/34.09 (MW) and 50.05 (LW AV)
#             against Faraday's own 54/34/50 - see docs/validation-conducted.md
#
# Accuracy: about +/-0.5 dB from the pixel grid, worse where the trace is steep
# or the two traces cross. Fine for a per-decade error band; not for pinning a
# single harmonic.
frequency_hz,detector,level_dbuv
148084,peak,41.57
148871,peak,42.94
149663,peak,44.31
150459,peak,44.19
151260,peak,43.57
152064,peak,43.44
152873,peak,43.57
153687,peak,44.69
154504,peak,46.06
155326,peak,45.94
156152,peak,45.81
156983,peak,45.69
157818,peak,46.56
158658,peak,46.43
159502,peak,46.31
160350,peak,44.69
161203,peak,45.06
162061,peak,44.94
162923,peak,44.81
163789,peak,44.69
164661,peak,44.94
165537,peak,44.94
166417,peak,44.69
167302,peak,43.69
168192,peak,43.07
169087,peak,41.20
169987,peak,39.33
170891,peak,39.20
171800,peak,39.08
172714,peak,39.45
173633,peak,40.07
174556,peak,39.70
175485,peak,39.08
176418,peak,37.71
177357,peak,36.33
178300,peak,35.71
179249,peak,35.34
180202,peak,35.21
181161,peak,35.21
182125,peak,35.21
183093,peak,34.96
184067,peak,33.47
185047,peak,32.09
186031,peak,32.22
187021,peak,33.34
188015,peak,33.22
189016,peak,34.09
190021,peak,33.72
191032,peak,33.97
192048,peak,31.47
193070,peak,31.10
194097,peak,30.97
195129,peak,30.60
196167,peak,30.47
197211,peak,31.35
198260,peak,31.22
199315,peak,31.10
200375,peak,27.73
201441,peak,26.61
202512,peak,28.23
203590,peak,31.60
204673,peak,31.47
205761,peak,30.35
206856,peak,30.22
207956,peak,30.60
209063,peak,30.47
210175,peak,30.35
211293,peak,28.98
212417,peak,28.85
213547,peak,28.73
214683,peak,27.86
215825,peak,25.74
216973,peak,23.87
218127,peak,24.74
219287,peak,25.86
220454,peak,25.74
221627,peak,24.36
222806,peak,24.24
223991,peak,24.24
225182,peak,22.74
226380,peak,21.62
227585,peak,21.50
228795,peak,21.62
230012,peak,21.25
231236,peak,21.50
232466,peak,20.75
233703,peak,20.37
234946,peak,20.25
236196,peak,21.12
237452,peak,21.00
238715,peak,21.87
239985,peak,21.75
241262,peak,21.62
242545,peak,20.25
243835,peak,18.88
245133,peak,18.25
246437,peak,17.88
247747,peak,19.25
249065,peak,21.12
250390,peak,21.00
251722,peak,21.62
253061,peak,21.50
254408,peak,21.37
255761,peak,19.75
257121,peak,19.88
258489,peak,19.75
259864,peak,19.25
261247,peak,19.25
262636,peak,20.87
264033,peak,20.75
265438,peak,20.75
266850,peak,19.25
268270,peak,19.13
269697,peak,19.00
271131,peak,18.63
272574,peak,18.25
274024,peak,18.50
275481,peak,17.51
276947,peak,16.88
278420,peak,16.76
279901,peak,19.13
281390,peak,19.00
282887,peak,18.88
284392,peak,18.00
285905,peak,20.87
287426,peak,20.75
288955,peak,18.63
290492,peak,18.25
292037,peak,18.13
293590,peak,18.00
295152,peak,18.13
296722,peak,18.00
298301,peak,19.88
299888,peak,19.75
301483,peak,19.75
303087,peak,18.25
304699,peak,21.12
306320,peak,21.00
307949,peak,20.37
309587,peak,20.25
311234,peak,19.00
312890,peak,18.00
314554,peak,17.13
317910,peak,20.62
319601,peak,20.50
321301,peak,20.12
323010,peak,20.00
324729,peak,20.87
326456,peak,20.75
328193,peak,20.75
329939,peak,19.75
331694,peak,18.63
333458,peak,17.51
335232,peak,16.63
337015,peak,18.00
338808,peak,19.63
340611,peak,19.50
342422,peak,17.38
344244,peak,17.26
346075,peak,17.13
347916,peak,17.01
349767,peak,17.13
351628,peak,17.01
353498,peak,19.38
355379,peak,19.25
357269,peak,19.25
359170,peak,16.76
361080,peak,14.89
363001,peak,14.76
364932,peak,14.76
366873,peak,14.76
368825,peak,14.89
370787,peak,16.01
372759,peak,17.13
374742,peak,16.76
376736,peak,15.14
378740,peak,15.26
380755,peak,15.89
382780,peak,15.76
384816,peak,14.89
386863,peak,14.76
388921,peak,16.63
390990,peak,16.26
393070,peak,16.51
395161,peak,15.26
397263,peak,17.38
399376,peak,17.26
401501,peak,17.13
403637,peak,15.26
405784,peak,13.39
407943,peak,12.77
410113,peak,12.39
412294,peak,13.02
414488,peak,14.14
416692,peak,14.01
418909,peak,10.15
421138,peak,11.27
423378,peak,12.89
425630,peak,12.77
427894,peak,11.15
430170,peak,11.02
432459,peak,11.27
434759,peak,12.27
437072,peak,13.89
439397,peak,13.77
441734,peak,12.64
444084,peak,12.27
446447,peak,12.14
448822,peak,12.02
451209,peak,11.77
453609,peak,11.27
456022,peak,10.90
458448,peak,10.77
460887,peak,12.89
463339,peak,12.77
465804,peak,12.89
468281,peak,12.77
470772,peak,12.77
473277,peak,11.77
475794,peak,11.15
478325,peak,11.77
480870,peak,12.39
483428,peak,12.27
486000,peak,11.52
488585,peak,11.02
491184,peak,10.90
493797,peak,10.77
496424,peak,10.90
499065,peak,10.77
501719,peak,14.14
504388,peak,13.77
507071,peak,14.01
509769,peak,11.52
512481,peak,11.40
515207,peak,11.27
517947,peak,10.65
520703,peak,11.52
523473,peak,12.39
526257,peak,12.27
529057,peak,12.39
531871,peak,12.27
534701,peak,12.27
537545,peak,11.27
540404,peak,12.14
543279,peak,12.02
546169,peak,12.39
549075,peak,12.27
551995,peak,12.14
554932,peak,10.77
557884,peak,13.39
560852,peak,13.27
563835,peak,13.14
566834,peak,11.02
569850,peak,12.64
572881,peak,12.27
575929,peak,10.65
578992,peak,10.52
582072,peak,11.40
585169,peak,11.27
588282,peak,11.15
591411,peak,9.03
594557,peak,9.65
597720,peak,9.28
600900,peak,8.40
604096,peak,8.28
607310,peak,8.15
610540,peak,10.27
613788,peak,12.89
617053,peak,13.77
620336,peak,14.64
623636,peak,14.26
626953,peak,15.14
630288,peak,15.01
633641,peak,14.89
637012,peak,12.27
640400,peak,10.40
643807,peak,11.02
647232,peak,11.90
650675,peak,11.77
654136,peak,10.15
657616,peak,10.02
661114,peak,9.90
664631,peak,10.27
668167,peak,11.15
671721,peak,11.02
675294,peak,11.40
678887,peak,12.27
682498,peak,13.39
686129,peak,13.27
689779,peak,13.14
693448,peak,13.02
697137,peak,13.14
700845,peak,13.77
704573,peak,14.89
708321,peak,14.76
712089,peak,14.14
715877,peak,14.01
719686,peak,10.65
727363,peak,14.64
731232,peak,15.26
735122,peak,15.89
739033,peak,15.76
742964,peak,15.64
746916,peak,14.76
750890,peak,14.14
754884,peak,14.01
758900,peak,13.64
762937,peak,13.27
766995,peak,12.77
771075,peak,10.77
775177,peak,8.90
779301,peak,10.27
783446,peak,11.90
787614,peak,11.77
791804,peak,11.40
796016,peak,11.27
800250,peak,9.40
804507,peak,9.28
808787,peak,9.90
813089,peak,10.02
817415,peak,10.90
821763,peak,10.77
826134,peak,10.65
830529,peak,10.27
834947,peak,10.90
839389,peak,10.77
843854,peak,10.65
848343,peak,9.53
852856,peak,8.65
857393,peak,8.78
861954,peak,9.40
866539,peak,10.02
871148,peak,11.40
875783,peak,11.27
880441,peak,11.15
885125,peak,9.78
889834,peak,8.40
894567,peak,8.03
899326,peak,7.91
904110,peak,7.78
908919,peak,7.91
913754,peak,7.78
918615,peak,8.15
923502,peak,8.53
928415,peak,8.90
933353,peak,8.78
938318,peak,8.65
943310,peak,8.53
948328,peak,8.40
953373,peak,8.78
958444,peak,9.40
963543,peak,9.28
968668,peak,11.65
973821,peak,11.27
979002,peak,11.52
984210,peak,9.78
989445,peak,8.28
994709,peak,8.28
1e+06,peak,8.15
1.00532e+06,peak,8.28
1.01067e+06,peak,8.65
1.01604e+06,peak,8.28
1.02145e+06,peak,8.40
1.02688e+06,peak,8.28
1.03235e+06,peak,9.40
1.03784e+06,peak,9.28
1.04336e+06,peak,9.15
1.04891e+06,peak,7.78
1.05449e+06,peak,6.91
1.0601e+06,peak,7.03
1.06574e+06,peak,9.40
1.07141e+06,peak,9.28
1.07711e+06,peak,9.15
1.08283e+06,peak,9.28
1.0886e+06,peak,9.40
1.09439e+06,peak,9.28
1.10021e+06,peak,9.40
1.10606e+06,peak,9.28
1.11194e+06,peak,9.15
1.11786e+06,peak,8.03
1.12381e+06,peak,7.16
1.13579e+06,peak,10.90
1.14184e+06,peak,10.77
1.14791e+06,peak,10.77
1.15402e+06,peak,9.03
1.16016e+06,peak,7.41
1.16633e+06,peak,8.53
1.17253e+06,peak,9.90
1.17877e+06,peak,9.78
1.18504e+06,peak,8.90
1.19134e+06,peak,8.78
1.19768e+06,peak,7.91
1.20405e+06,peak,7.78
1.21046e+06,peak,7.66
1.2169e+06,peak,7.78
1.22337e+06,peak,9.40
1.22988e+06,peak,9.28
1.23642e+06,peak,9.15
1.243e+06,peak,8.78
1.24961e+06,peak,9.15
1.25626e+06,peak,9.03
1.26294e+06,peak,6.66
1.26966e+06,peak,7.28
1.27641e+06,peak,8.40
1.2832e+06,peak,8.28
1.29003e+06,peak,8.65
1.29689e+06,peak,8.53
1.30379e+06,peak,8.40
1.31072e+06,peak,7.78
1.3177e+06,peak,9.65
1.32471e+06,peak,9.53
1.33175e+06,peak,9.40
1.33884e+06,peak,8.28
1.34596e+06,peak,8.03
1.35312e+06,peak,8.28
1.36032e+06,peak,8.65
1.36755e+06,peak,8.28
1.37483e+06,peak,6.91
1.38214e+06,peak,6.78
1.3895e+06,peak,8.65
1.39689e+06,peak,8.28
1.40432e+06,peak,8.53
1.41179e+06,peak,7.78
1.4193e+06,peak,8.40
1.42685e+06,peak,8.28
1.43444e+06,peak,7.53
1.44207e+06,peak,7.03
1.44974e+06,peak,6.66
1.46521e+06,peak,8.90
1.473e+06,peak,8.78
1.48084e+06,peak,7.41
1.48871e+06,peak,7.28
1.49663e+06,peak,7.66
1.50459e+06,peak,8.53
1.5126e+06,peak,9.40
1.52064e+06,peak,9.28
1.52873e+06,peak,9.15
1.53687e+06,peak,8.53
1.54504e+06,peak,8.90
1.55326e+06,peak,8.78
1.56152e+06,peak,8.15
1.56983e+06,peak,8.03
1.57818e+06,peak,7.91
1.58658e+06,peak,7.78
1.59502e+06,peak,8.40
1.6035e+06,peak,8.28
1.61203e+06,peak,7.66
1.62923e+06,peak,8.65
1.63789e+06,peak,8.53
1.64661e+06,peak,9.40
1.65537e+06,peak,9.28
1.66417e+06,peak,9.15
1.67302e+06,peak,8.03
1.68192e+06,peak,6.91
1.69087e+06,peak,6.78
1.69987e+06,peak,10.15
1.70891e+06,peak,10.02
1.718e+06,peak,8.90
1.72714e+06,peak,8.78
1.73633e+06,peak,9.40
1.74556e+06,peak,9.28
1.75485e+06,peak,9.28
1.76418e+06,peak,9.03
1.77357e+06,peak,8.90
1.783e+06,peak,9.28
1.79249e+06,peak,9.90
1.80202e+06,peak,10.27
1.81161e+06,peak,10.65
1.82125e+06,peak,10.52
1.83093e+06,peak,10.40
1.84067e+06,peak,10.02
1.85047e+06,peak,9.90
1.86031e+06,peak,9.78
1.87021e+06,peak,10.65
1.88015e+06,peak,10.27
1.89016e+06,peak,10.52
1.90021e+06,peak,9.28
1.91032e+06,peak,9.65
1.92048e+06,peak,9.28
1.9307e+06,peak,8.40
1.94097e+06,peak,8.28
1.95129e+06,peak,8.15
1.96167e+06,peak,8.28
1.97211e+06,peak,9.40
1.9826e+06,peak,9.28
1.99315e+06,peak,8.90
2.00375e+06,peak,8.78
2.01441e+06,peak,8.90
2.02512e+06,peak,8.78
2.0359e+06,peak,8.78
2.04673e+06,peak,8.28
2.05761e+06,peak,8.03
2.06856e+06,peak,8.03
2.07956e+06,peak,7.91
2.09063e+06,peak,7.78
2.10175e+06,peak,17.63
2.11293e+06,peak,24.24
2.12417e+06,peak,30.85
2.13547e+06,peak,30.72
2.14683e+06,peak,24.11
2.15825e+06,peak,23.99
2.16973e+06,peak,9.40
2.18127e+06,peak,9.28
2.19287e+06,peak,9.40
2.20454e+06,peak,9.28
2.21627e+06,peak,9.28
2.22806e+06,peak,7.78
2.23991e+06,peak,7.16
2.25182e+06,peak,8.28
2.2638e+06,peak,9.90
2.27585e+06,peak,9.78
2.28795e+06,peak,7.66
2.30012e+06,peak,8.03
2.31236e+06,peak,8.40
2.32466e+06,peak,9.28
2.33703e+06,peak,10.65
2.34946e+06,peak,10.52
2.36196e+06,peak,10.40
2.37452e+06,peak,9.03
2.38715e+06,peak,9.90
2.39985e+06,peak,9.78
2.41262e+06,peak,7.91
2.42545e+06,peak,7.78
2.43835e+06,peak,10.15
2.45133e+06,peak,10.27
2.46437e+06,peak,10.65
2.47747e+06,peak,10.27
2.49065e+06,peak,10.52
2.5039e+06,peak,10.02
2.51722e+06,peak,9.90
2.53061e+06,peak,9.78
2.54408e+06,peak,11.15
2.55761e+06,peak,11.02
2.57121e+06,peak,10.90
2.58489e+06,peak,9.78
2.59864e+06,peak,8.53
2.61247e+06,peak,8.03
2.62636e+06,peak,7.91
2.64033e+06,peak,7.78
2.65438e+06,peak,8.40
2.6685e+06,peak,8.78
2.6827e+06,peak,9.65
2.69697e+06,peak,9.28
2.71131e+06,peak,9.40
2.72574e+06,peak,9.28
2.74024e+06,peak,7.41
2.75481e+06,peak,7.28
2.76947e+06,peak,9.90
2.7842e+06,peak,9.78
2.79901e+06,peak,9.90
2.8139e+06,peak,10.02
2.82887e+06,peak,10.02
2.84392e+06,peak,10.02
2.85905e+06,peak,10.15
2.87426e+06,peak,9.78
2.88955e+06,peak,10.02
2.90492e+06,peak,9.03
2.92037e+06,peak,9.40
2.9359e+06,peak,9.28
2.95152e+06,peak,9.40
2.96722e+06,peak,9.28
2.98301e+06,peak,9.40
2.99888e+06,peak,9.28
3.01483e+06,peak,10.15
3.03087e+06,peak,10.02
3.04699e+06,peak,10.27
3.0632e+06,peak,10.27
3.07949e+06,peak,10.02
3.09587e+06,peak,9.53
3.11234e+06,peak,9.65
3.1289e+06,peak,9.78
3.14554e+06,peak,9.90
